STUDBME1;STUDBME2;iot;ARC3;adel;CMP_LAB4;CMP_LAB2;CMP_LAB1;Label
0;28;0;0;0;0;0;36;101
0;28;0;0;0;0;0;32;101
0;31;0;0;0;0;33;32;101
0;33;0;0;0;38;38;32;101
0;33;0;0;0;41;38;42;101
0;31;0;0;0;27;38;29;101
0;31;0;0;0;27;37;29;101
0;29;0;0;0;27;37;29;101
0;32;0;0;0;27;30;29;101
0;28;0;0;0;27;30;29;101
11;33;0;0;0;40;30;29;101
11;32;0;0;0;34;33;34;101
11;32;0;0;0;34;33;35;101
11;32;0;0;0;34;35;34;101
11;32;0;0;0;34;35;34;101
11;34;0;0;0;34;35;34;101
11;37;0;0;0;44;35;42;101
29;30;0;0;0;42;43;42;101
29;28;0;0;0;42;34;35;101
22;50;7;0;0;0;28;28;102
22;46;7;0;0;0;23;28;102
22;42;7;0;0;24;23;28;102
22;42;7;0;0;24;23;28;102
0;51;0;0;0;0;21;0;102
0;43;0;0;0;24;21;0;102
22;44;0;0;0;31;21;31;102
22;44;0;0;0;26;21;26;102
22;46;0;0;0;26;22;24;102
22;43;0;0;0;26;23;23;102
22;40;0;0;0;26;28;23;102
22;43;0;0;0;17;28;23;102
22;35;0;0;0;16;28;23;102
22;43;0;0;0;28;28;27;102
22;42;0;0;0;16;28;27;102
22;41;0;0;0;16;24;27;102
22;36;0;0;0;16;24;27;102
22;51;0;0;0;19;24;27;102
22;44;0;0;0;19;24;17;102
22;44;0;0;0;23;24;26;102
22;50;0;0;0;23;22;21;102
22;56;0;0;0;23;19;21;102
22;32;0;0;0;23;19;21;102
22;41;0;0;0;17;19;21;102
0;49;0;0;0;0;32;0;103
0;34;0;0;0;0;32;0;103
22;31;0;0;0;21;20;0;103
22;30;0;0;0;21;20;27;103
22;30;0;0;0;21;20;25;103
22;34;0;0;0;21;26;26;103
22;34;0;0;0;21;19;26;103
22;34;0;0;0;23;23;26;103
22;31;22;0;0;24;23;26;103
28;37;17;0;0;24;23;26;103
26;34;17;0;0;22;23;23;103
26;38;17;0;0;22;23;24;103
29;38;17;0;0;22;26;24;103
22;36;17;0;0;25;23;24;103
22;36;15;0;0;21;23;24;103
22;32;10;0;0;19;23;22;103
22;36;16;0;0;19;28;23;103
32;38;19;0;0;19;32;32;103
33;45;0;0;0;0;46;46;104
29;39;0;0;0;0;44;44;104
35;39;0;0;0;0;42;44;104
39;39;0;0;0;44;42;44;104
39;43;0;0;0;43;42;45;104
39;42;0;0;0;42;42;42;104
39;44;0;0;0;42;45;44;104
39;38;0;0;0;42;43;44;104
40;31;0;0;0;42;40;44;104
36;31;0;0;0;44;40;44;104
33;31;0;0;0;66;40;67;104
33;56;0;0;0;64;67;66;104
33;56;0;0;0;64;44;56;104
33;37;0;0;0;64;43;56;104
33;37;0;0;0;45;46;56;104
34;39;0;0;0;70;46;56;104
28;42;0;0;0;64;46;64;104
34;45;0;0;0;43;46;43;104
0;64;18;0;0;32;0;32;105
0;56;17;0;0;32;33;32;105
0;44;17;0;0;32;34;32;105
47;58;17;0;0;36;35;32;105
47;50;19;0;0;25;35;32;105
47;43;19;0;0;31;35;30;105
42;43;23;0;0;31;35;34;105
36;45;23;0;0;31;24;25;105
36;45;26;0;0;31;31;25;105
36;48;20;20;0;34;32;25;105
36;46;20;20;0;31;32;25;105
36;57;20;20;0;29;32;30;105
35;47;20;20;0;36;32;38;105
35;59;20;20;0;36;32;38;105
40;50;20;13;0;36;41;38;105
40;60;20;13;0;33;41;38;105
40;72;20;13;0;33;41;38;105
40;72;20;13;0;33;41;38;105
0;47;33;0;0;0;0;0;106
0;22;27;0;0;16;0;0;106
26;18;34;0;0;16;0;0;106
24;24;76;0;0;16;0;0;106
24;24;83;13;0;16;0;0;106
24;24;61;13;0;16;0;0;106
24;24;42;13;0;16;15;0;106
24;24;36;13;0;15;15;0;106
24;22;27;13;0;17;15;19;106
37;33;30;13;0;27;15;28;106
25;24;28;13;0;13;15;28;106
34;21;46;13;0;13;18;28;106
34;24;40;13;0;13;18;28;106
32;27;42;8;0;15;18;28;106
32;27;65;8;0;16;18;14;106
32;22;52;8;0;16;18;14;106
32;26;41;8;0;19;17;14;106
32;23;38;8;0;19;19;14;106
27;25;38;21;0;19;22;14;106
29;31;34;21;0;19;22;14;106
46;0;0;17;0;0;0;0;107
46;0;32;17;0;0;14;0;107
46;22;37;17;0;0;13;0;107
46;23;31;17;0;0;13;0;107
31;23;31;17;0;0;13;0;107
25;20;31;17;0;17;13;15;107
25;21;26;17;0;17;13;9;107
26;21;33;17;0;17;12;16;107
26;21;30;17;0;17;12;16;107
26;21;38;17;0;15;12;16;107
26;30;36;17;0;15;12;19;107
26;24;31;13;0;20;12;19;107
26;30;34;13;0;20;12;19;107
37;27;29;13;0;20;17;15;107
32;27;29;13;0;20;20;15;107
34;32;37;13;0;20;20;15;107
28;32;35;9;0;17;20;15;107
28;32;32;15;0;17;20;16;107
28;30;34;16;0;13;15;16;107
28;27;39;16;0;13;23;16;107
28;41;32;16;0;13;28;16;107
44;37;38;16;0;13;28;16;107
39;30;38;16;0;27;28;28;107
60;0;0;41;0;0;18;0;108
69;25;0;39;0;0;19;0;108
69;24;7;38;0;0;19;0;108
69;24;10;21;0;20;19;0;108
69;36;10;21;0;21;19;21;108
69;29;12;26;0;20;19;19;108
69;33;12;29;0;20;18;19;108
76;31;12;30;0;20;14;17;108
69;30;12;39;0;20;14;17;108
61;30;12;41;0;26;14;17;108
61;30;12;39;0;26;14;23;108
61;33;16;34;0;24;14;24;108
40;32;23;35;0;24;14;24;108
44;37;28;38;0;24;28;24;108
63;27;28;22;0;24;17;24;108
52;26;28;22;0;25;17;24;108
72;27;28;35;0;25;17;24;108
68;27;28;27;0;14;17;17;108
76;24;28;37;0;14;17;14;108
66;24;28;33;0;14;17;14;108
50;32;28;31;0;14;17;14;108
50;37;28;31;0;14;17;14;108
41;0;0;19;0;0;0;0;109
43;0;17;21;0;0;0;0;109
43;0;17;21;0;0;0;0;109
41;15;17;21;0;11;15;13;109
44;19;12;21;0;11;15;13;109
43;19;12;21;0;11;15;13;109
67;19;12;21;0;17;15;13;109
50;19;12;16;0;12;15;13;109
58;19;16;13;0;12;15;13;109
63;19;20;14;0;12;15;13;109
48;17;21;11;0;12;15;13;109
48;18;18;21;0;12;15;13;109
64;18;24;21;0;12;15;13;109
61;18;24;21;0;8;15;13;109
69;26;18;21;0;8;15;13;109
80;26;18;25;0;8;15;13;109
64;26;20;25;0;8;15;13;109
56;26;20;18;0;8;15;13;109
56;26;15;18;0;8;15;13;109
43;26;16;14;0;8;15;13;109
58;14;18;15;0;8;15;13;109
61;14;14;15;0;8;15;13;109
57;11;26;18;0;8;15;13;109
43;0;21;14;0;0;0;0;110
55;0;19;14;0;0;0;0;110
39;12;17;14;0;0;10;0;110
39;15;17;14;0;0;10;0;110
42;13;17;14;0;0;10;0;110
44;19;17;14;0;0;10;0;110
47;19;17;24;0;0;10;0;110
39;19;14;19;0;0;10;8;110
47;19;14;20;0;0;10;8;110
44;19;18;17;0;0;10;8;110
51;16;18;17;0;0;10;8;110
46;16;18;17;0;0;10;8;110
45;14;18;17;0;0;10;8;110
44;10;18;17;0;0;10;8;110
45;10;18;19;0;0;10;8;110
43;10;18;19;0;0;10;8;110
42;10;18;19;0;0;10;8;110
41;10;25;18;0;0;10;8;110
37;12;27;18;0;0;10;8;110
42;16;27;18;0;0;10;8;110
48;16;23;18;0;0;10;8;110
48;16;23;18;0;0;10;8;110
60;0;29;27;0;0;0;0;111
60;0;14;27;0;0;0;0;111
52;0;19;27;0;0;0;0;111
35;0;23;22;0;0;0;0;111
55;9;23;23;0;0;0;0;111
59;9;23;19;0;0;0;0;111
55;9;23;19;0;0;0;0;111
62;9;23;18;0;0;0;0;111
62;9;22;19;0;0;0;0;111
41;9;22;28;0;0;0;0;111
48;12;22;28;0;0;0;0;111
45;14;22;28;0;0;0;0;111
41;14;22;28;0;0;0;0;111
46;14;22;28;0;0;0;0;111
51;14;22;26;0;0;0;0;111
48;14;22;26;0;0;0;0;111
47;14;24;16;0;0;0;0;111
51;14;21;26;0;0;0;0;111
51;12;20;21;0;0;0;0;111
60;12;21;21;0;0;0;0;111
61;0;0;24;0;0;0;0;112
40;0;16;20;0;0;0;0;112
44;0;12;14;0;0;0;0;112
48;0;12;14;0;0;0;0;112
48;16;17;14;0;0;0;0;112
52;16;17;14;0;0;0;0;112
52;20;17;14;0;0;0;0;112
47;20;17;20;0;0;0;0;112
42;20;17;15;0;0;0;0;112
45;20;17;21;0;0;0;0;112
63;20;17;21;0;0;0;0;112
62;20;17;23;0;0;0;0;112
65;20;21;23;0;0;0;0;112
55;20;17;21;0;0;0;0;112
60;20;17;20;0;0;0;0;112
48;17;17;20;0;0;0;0;112
45;17;17;21;0;0;11;0;112
54;17;17;28;0;0;11;0;112
60;17;20;16;0;0;11;0;112
0;0;20;0;0;0;0;0;113
0;0;20;0;0;0;0;0;113
30;8;20;0;0;0;0;0;113
28;8;20;0;0;0;0;0;113
30;8;20;0;0;0;0;0;113
36;8;20;0;0;0;0;0;113
36;8;20;0;0;0;0;0;113
36;11;20;0;0;0;0;0;113
34;11;20;0;0;0;0;0;113
34;11;20;0;0;0;0;0;113
42;23;20;0;0;0;12;0;113
45;34;20;0;0;0;12;0;113
30;34;20;0;0;0;12;0;113
36;34;20;0;0;0;12;0;113
27;34;20;9;0;0;12;0;113
34;34;20;10;0;0;12;0;113
34;11;20;10;0;0;12;0;113
44;27;20;10;0;0;13;0;113
44;30;20;10;0;0;13;0;113
67;30;20;10;0;24;13;24;113
